[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-11-17 12:31:01.743289 I | etcdmain: etcd Version: 3.4.13
2021-11-17 12:31:01.743516 I | etcdmain: Git SHA: ae9734ed2
2021-11-17 12:31:01.743523 I | etcdmain: Go Version: go1.12.17
2021-11-17 12:31:01.743529 I | etcdmain: Go OS/Arch: linux/amd64
2021-11-17 12:31:01.743534 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-11-17 12:31:01.745109 N | etcdmain: the server is already initialized as member before, starting as etcd member...
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-11-17 12:31:01.745533 I | embed: peerTLS: cert = /run/config/pki/etcd/peer.crt, key = /run/config/pki/etcd/peer.key, trusted-ca = /run/config/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-11-17 12:31:01.803044 I | embed: name = docker-desktop
2021-11-17 12:31:01.803103 I | embed: data dir = /var/lib/etcd
2021-11-17 12:31:01.803119 I | embed: member dir = /var/lib/etcd/member
2021-11-17 12:31:01.803148 I | embed: heartbeat = 100ms
2021-11-17 12:31:01.803159 I | embed: election = 1000ms
2021-11-17 12:31:01.803164 I | embed: snapshot count = 10000
2021-11-17 12:31:01.803213 I | embed: advertise client URLs = https://192.168.65.4:2379
2021-11-17 12:31:01.803229 I | embed: initial advertise peer URLs = https://192.168.65.4:2380
2021-11-17 12:31:01.803243 I | embed: initial cluster = 
2021-11-17 12:31:03.364029 I | etcdserver: recovered store from snapshot at index 20002
2021-11-17 12:31:03.382777 I | mvcc: restore compact to 19539
2021-11-17 12:31:04.605740 I | etcdserver: restarting member e5bbd8b9da7b7276 in cluster 3a53a0640def5dc8 at commit index 25099
raft2021/11/17 12:31:04 INFO: e5bbd8b9da7b7276 switched to configuration voters=(16554063148076462710)
raft2021/11/17 12:31:04 INFO: e5bbd8b9da7b7276 became follower at term 3
raft2021/11/17 12:31:04 INFO: newRaft e5bbd8b9da7b7276 [peers: [e5bbd8b9da7b7276], term: 3, commit: 25099, applied: 20002, lastindex: 25099, lastterm: 3]
2021-11-17 12:31:04.628382 I | etcdserver/api: enabled capabilities for version 3.4
2021-11-17 12:31:04.628417 I | etcdserver/membership: added member e5bbd8b9da7b7276 [https://192.168.65.4:2380] to cluster 3a53a0640def5dc8 from store
2021-11-17 12:31:04.628426 I | etcdserver/membership: set the cluster version to 3.4 from store
2021-11-17 12:31:04.652850 W | auth: simple token is not cryptographically signed
2021-11-17 12:31:04.672248 I | mvcc: restore compact to 19539
2021-11-17 12:31:04.764145 I | etcdserver: starting server... [version: 3.4.13, cluster version: 3.4]
2021-11-17 12:31:04.779019 I | etcdserver: e5bbd8b9da7b7276 as single-node; fast-forwarding 9 ticks (election ticks 10)
2021-11-17 12:31:04.793042 I | embed: ClientTLS: cert = /run/config/pki/etcd/server.crt, key = /run/config/pki/etcd/server.key, trusted-ca = /run/config/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-11-17 12:31:04.793612 I | embed: listening for metrics on http://127.0.0.1:2381
2021-11-17 12:31:04.798061 I | embed: listening for peers on 192.168.65.4:2380
raft2021/11/17 12:31:05 INFO: e5bbd8b9da7b7276 is starting a new election at term 3
raft2021/11/17 12:31:05 INFO: e5bbd8b9da7b7276 became candidate at term 4
raft2021/11/17 12:31:05 INFO: e5bbd8b9da7b7276 received MsgVoteResp from e5bbd8b9da7b7276 at term 4
raft2021/11/17 12:31:05 INFO: e5bbd8b9da7b7276 became leader at term 4
raft2021/11/17 12:31:05 INFO: raft.node: e5bbd8b9da7b7276 elected leader e5bbd8b9da7b7276 at term 4
2021-11-17 12:31:05.258940 I | etcdserver: published {Name:docker-desktop ClientURLs:[https://192.168.65.4:2379]} to cluster 3a53a0640def5dc8
2021-11-17 12:31:05.259085 I | embed: ready to serve client requests
2021-11-17 12:31:05.261072 I | embed: ready to serve client requests
2021-11-17 12:31:05.283652 I | embed: serving client requests on 192.168.65.4:2379
2021-11-17 12:31:05.300984 I | embed: serving client requests on 127.0.0.1:2379
2021-11-17 12:31:17.136783 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:31:38.915476 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:31:48.915294 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:31:58.887031 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:08.886178 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:18.886700 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:28.866359 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:38.866255 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:48.866048 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:32:58.846519 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:08.846259 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:18.845503 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:28.824890 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:38.825939 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:48.824232 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:33:58.812319 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:08.804954 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:18.803467 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:28.783522 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:38.783574 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:48.783565 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:34:58.761488 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:08.762958 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:18.761275 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:28.741990 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:38.742798 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:48.740643 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:35:58.721395 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:08.721653 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:18.719821 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:28.700488 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:38.701081 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:48.699101 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:36:58.679942 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:08.679961 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:18.678520 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:28.658419 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:38.659641 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:48.659076 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:37:58.638057 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:08.636698 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:18.637269 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:28.616304 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:38.616907 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:48.616065 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:38:58.597447 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:39:08.798285 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:39:18.596484 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 12:39:28.654414 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:03:48.746555 W | etcdserver: request "header:<ID:8247917403578680085 > lease_revoke:<id:72767d2de111c30e>" with result "size:29" took too long (558.1606ms) to execute
2021-11-17 13:03:49.405665 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:03:49.465456 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:03:50.427075 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/\" range_end:\"/registry/apiregistration.k8s.io/apiservices0\" count_only:true " with result "range_response_count:0 size:8" took too long (484.0193ms) to execute
2021-11-17 13:03:50.586420 W | etcdserver: read-only range request "key:\"/registry/priorityclasses/\" range_end:\"/registry/priorityclasses0\" count_only:true " with result "range_response_count:0 size:8" took too long (546.1794ms) to execute
2021-11-17 13:03:50.587891 W | etcdserver: read-only range request "key:\"/registry/rolebindings/\" range_end:\"/registry/rolebindings0\" count_only:true " with result "range_response_count:0 size:8" took too long (152.8936ms) to execute
2021-11-17 13:03:50.588579 W | etcdserver: read-only range request "key:\"/registry/csidrivers/\" range_end:\"/registry/csidrivers0\" count_only:true " with result "range_response_count:0 size:6" took too long (553.5062ms) to execute
2021-11-17 13:03:50.588810 W | etcdserver: read-only range request "key:\"/registry/roles/\" range_end:\"/registry/roles0\" count_only:true " with result "range_response_count:0 size:8" took too long (159.4178ms) to execute
2021-11-17 13:03:50.589190 W | etcdserver: read-only range request "key:\"/registry/leases/\" range_end:\"/registry/leases0\" count_only:true " with result "range_response_count:0 size:8" took too long (554.2505ms) to execute
2021-11-17 13:03:50.589366 W | etcdserver: read-only range request "key:\"/registry/priorityclasses/\" range_end:\"/registry/priorityclasses0\" count_only:true " with result "range_response_count:0 size:8" took too long (160.1148ms) to execute
2021-11-17 13:03:50.590581 W | etcdserver: read-only range request "key:\"/registry/clusterroles/\" range_end:\"/registry/clusterroles0\" count_only:true " with result "range_response_count:0 size:8" took too long (161.9527ms) to execute
2021-11-17 13:03:50.590761 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/\" range_end:\"/registry/apiregistration.k8s.io/apiservices0\" count_only:true " with result "range_response_count:0 size:8" took too long (171.0518ms) to execute
2021-11-17 13:03:50.591110 W | etcdserver: read-only range request "key:\"/registry/prioritylevelconfigurations/\" range_end:\"/registry/prioritylevelconfigurations0\" count_only:true " with result "range_response_count:0 size:8" took too long (426.266ms) to execute
2021-11-17 13:03:50.591169 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" count_only:true " with result "range_response_count:0 size:6" took too long (197.8787ms) to execute
2021-11-17 13:03:50.591624 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitions0\" count_only:true " with result "range_response_count:0 size:6" took too long (528.8795ms) to execute
2021-11-17 13:03:50.591780 W | etcdserver: read-only range request "key:\"/registry/ingress/\" range_end:\"/registry/ingress0\" count_only:true " with result "range_response_count:0 size:6" took too long (200.4372ms) to execute
2021-11-17 13:03:50.592035 W | etcdserver: read-only range request "key:\"/registry/endpointslices/\" range_end:\"/registry/endpointslices0\" count_only:true " with result "range_response_count:0 size:8" took too long (529.4759ms) to execute
2021-11-17 13:03:50.592174 W | etcdserver: read-only range request "key:\"/registry/volumeattachments/\" range_end:\"/registry/volumeattachments0\" count_only:true " with result "range_response_count:0 size:6" took too long (200.9371ms) to execute
2021-11-17 13:03:50.592444 W | etcdserver: read-only range request "key:\"/registry/csistoragecapacities/\" range_end:\"/registry/csistoragecapacities0\" count_only:true " with result "range_response_count:0 size:6" took too long (552.9003ms) to execute
2021-11-17 13:03:50.592673 W | etcdserver: read-only range request "key:\"/registry/roles/\" range_end:\"/registry/roles0\" count_only:true " with result "range_response_count:0 size:8" took too long (231.272ms) to execute
2021-11-17 13:03:50.592835 W | etcdserver: read-only range request "key:\"/registry/deployments/\" range_end:\"/registry/deployments0\" count_only:true " with result "range_response_count:0 size:8" took too long (543.0149ms) to execute
2021-11-17 13:03:50.593699 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/\" range_end:\"/registry/serviceaccounts0\" count_only:true " with result "range_response_count:0 size:8" took too long (554.2583ms) to execute
2021-11-17 13:03:50.594155 W | etcdserver: read-only range request "key:\"/registry/ingress/\" range_end:\"/registry/ingress0\" count_only:true " with result "range_response_count:0 size:6" took too long (531.86ms) to execute
2021-11-17 13:03:50.594264 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/\" range_end:\"/registry/resourcequotas0\" count_only:true " with result "range_response_count:0 size:6" took too long (544.6292ms) to execute
2021-11-17 13:03:50.594738 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/\" range_end:\"/registry/horizontalpodautoscalers0\" count_only:true " with result "range_response_count:0 size:6" took too long (302.9736ms) to execute
2021-11-17 13:03:50.595150 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/\" range_end:\"/registry/poddisruptionbudgets0\" count_only:true " with result "range_response_count:0 size:6" took too long (559.8198ms) to execute
2021-11-17 13:03:50.595303 W | etcdserver: read-only range request "key:\"/registry/namespaces/\" range_end:\"/registry/namespaces0\" count_only:true " with result "range_response_count:0 size:8" took too long (303.593ms) to execute
2021-11-17 13:03:50.595672 W | etcdserver: read-only range request "key:\"/registry/storageclasses/\" range_end:\"/registry/storageclasses0\" count_only:true " with result "range_response_count:0 size:8" took too long (555.1596ms) to execute
2021-11-17 13:03:50.595742 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy/\" range_end:\"/registry/podsecuritypolicy0\" count_only:true " with result "range_response_count:0 size:6" took too long (304.0802ms) to execute
2021-11-17 13:03:50.596361 W | etcdserver: read-only range request "key:\"/registry/configmaps/\" range_end:\"/registry/configmaps0\" count_only:true " with result "range_response_count:0 size:8" took too long (305.2337ms) to execute
2021-11-17 13:03:50.597016 W | etcdserver: read-only range request "key:\"/registry/pods/\" range_end:\"/registry/pods0\" count_only:true " with result "range_response_count:0 size:8" took too long (305.9764ms) to execute
2021-11-17 13:03:50.620451 W | etcdserver: read-only range request "key:\"/registry/csidrivers/\" range_end:\"/registry/csidrivers0\" count_only:true " with result "range_response_count:0 size:6" took too long (200.1859ms) to execute
2021-11-17 13:03:50.621025 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:119" took too long (569.1741ms) to execute
2021-11-17 13:03:50.621812 W | etcdserver: read-only range request "key:\"/registry/events/\" range_end:\"/registry/events0\" count_only:true " with result "range_response_count:0 size:8" took too long (334.4879ms) to execute
2021-11-17 13:03:50.622234 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" count_only:true " with result "range_response_count:0 size:6" took too long (584.6186ms) to execute
2021-11-17 13:03:50.637336 W | etcdserver: read-only range request "key:\"/registry/limitranges/\" range_end:\"/registry/limitranges0\" count_only:true " with result "range_response_count:0 size:6" took too long (677.671ms) to execute
2021-11-17 13:03:50.638021 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions/\" range_end:\"/registry/controllerrevisions0\" count_only:true " with result "range_response_count:0 size:8" took too long (613.7121ms) to execute
2021-11-17 13:03:50.638574 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" count_only:true " with result "range_response_count:0 size:8" took too long (614.5318ms) to execute
2021-11-17 13:03:50.649376 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:121" took too long (706.0254ms) to execute
2021-11-17 13:03:50.677283 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations/\" range_end:\"/registry/validatingwebhookconfigurations0\" count_only:true " with result "range_response_count:0 size:6" took too long (592.6032ms) to execute
2021-11-17 13:03:50.708535 W | etcdserver: read-only range request "key:\"/registry/controllers/\" range_end:\"/registry/controllers0\" count_only:true " with result "range_response_count:0 size:6" took too long (704.0478ms) to execute
2021-11-17 13:03:50.709328 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims/\" range_end:\"/registry/persistentvolumeclaims0\" count_only:true " with result "range_response_count:0 size:6" took too long (705.1048ms) to execute
2021-11-17 13:03:50.709977 W | etcdserver: read-only range request "key:\"/registry/events/\" range_end:\"/registry/events0\" count_only:true " with result "range_response_count:0 size:8" took too long (705.7476ms) to execute
2021-11-17 13:03:50.722475 W | etcdserver: read-only range request "key:\"/registry/clusterroles/\" range_end:\"/registry/clusterroles0\" count_only:true " with result "range_response_count:0 size:8" took too long (707.2868ms) to execute
2021-11-17 13:03:50.725533 W | etcdserver: read-only range request "key:\"/registry/daemonsets/\" range_end:\"/registry/daemonsets0\" count_only:true " with result "range_response_count:0 size:8" took too long (734.0853ms) to execute
2021-11-17 13:03:50.726004 W | etcdserver: read-only range request "key:\"/registry/csinodes/\" range_end:\"/registry/csinodes0\" count_only:true " with result "range_response_count:0 size:8" took too long (728.5793ms) to execute
2021-11-17 13:03:50.726363 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations/\" range_end:\"/registry/mutatingwebhookconfigurations0\" count_only:true " with result "range_response_count:0 size:6" took too long (729.0204ms) to execute
2021-11-17 13:03:50.726727 W | etcdserver: read-only range request "key:\"/registry/replicasets/\" range_end:\"/registry/replicasets0\" count_only:true " with result "range_response_count:0 size:8" took too long (729.4814ms) to execute
2021-11-17 13:03:50.727136 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests/\" range_end:\"/registry/certificatesigningrequests0\" count_only:true " with result "range_response_count:0 size:6" took too long (735.5635ms) to execute
2021-11-17 13:03:50.727598 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/\" range_end:\"/registry/clusterrolebindings0\" count_only:true " with result "range_response_count:0 size:8" took too long (736.1425ms) to execute
2021-11-17 13:03:50.733087 W | etcdserver: read-only range request "key:\"/registry/storageclasses/\" range_end:\"/registry/storageclasses0\" count_only:true " with result "range_response_count:0 size:8" took too long (789.9454ms) to execute
